0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:21 +0530] "POST /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:59 +0530] "GET /Application/Admin/ReportPIU.jsp?PIU_name=Bangalore&projtype=&project=&status=&doctype=&DateStart=&DateEnd=&zone=&division=&backurl=check&t1=30&t2=60&t3=&suser=&majsec=&smajsec=&frmkm=&tokm=&frmstn=&tostn=&frmstnkm=&tostnkm=&orgName= HTTP/1.1" 200 29577
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:40:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:15 +0530] "GET /Application/Admin/User_display.jsp?PIU_of_RVNL=Bangalore&zone_name=SCR&division= HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:15 +0530] "GET /Application/Admin/projectdisplay.jsp?PIU_of_RVNL=Bangalore&zone_name=SCR&division=&proj_type= HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:16 +0530] "GET /Application/Admin/Divisions1.jsp?zone=SCR HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:18 +0530] "GET /Application/Admin/projectdisplay.jsp?PIU_of_RVNL=Bangalore&zone_name=SCR&division=Nanded&proj_type= HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:18 +0530] "GET /Application/Admin/User_display.jsp?PIU_of_RVNL=Bangalore&zone_name=SCR&division=Nanded HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:21 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:21 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:21 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:21 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:21 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:26 +0530] "GET /Application/Admin/projectdisplay.jsp?PIU_of_RVNL=Bangalore&zone_name=&division=&proj_type=Doubling%20without%20RE HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:28 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:28 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:28 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:28 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:28 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:31 +0530] "GET /Application/Admin/projectdisplay.jsp?PIU_of_RVNL=Bangalore&zone_name=&division=&proj_type= HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:46:39 +0530] "GET /Application/Admin/showLocation_Report.jsp?code=1&projname=kulem%20-%20vasco%20doubling&type=1 HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:47:06 +0530] "GET /Application/Admin/showLocation_Report.jsp?code=2&projname=kulem%20-%20vasco%20doubling&majsec=Kulem%20-%20vasco&Km=2 HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:57:12 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:03:13 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35112
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:03:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:03:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:16:03:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
