0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/js/jszip.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:32 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:35:50 +0530] "POST /Application/Admin/createCity HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:35:52 +0530] "GET /Application/Admin/js/bootstrap-multiselect.js HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:41:48 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 3205
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:43:51 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:43:55 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:43:58 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:43:59 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:00 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:00 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:01 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:01 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:01 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:01 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:01 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:02 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:02 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:02 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:02 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:02 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:03 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:04 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 2922
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 200 54811
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/css/bootstrap.min.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/css/AdminLTE.min.css HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/css/skin-blue.min.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/css/dataTables.bootstrap.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/css/main-image-slider.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/css/jquery.bootstrap-touchspin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/js/bootstrap-multiselect.js HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:44:33 +0530] "GET /Application/Admin/css/dashboardDropDownStyle.css HTTP/1.1" 404 1047
